"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","responses","word","answer"
"audio-keyboard-response","32","142807","0.0-32.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_bait.wav","null","","",""
"survey-text","33","146723","0.0-33.0","bzb5hmc2ggk","3912.6999999999534","","","{""Q0"":""bite""}","bait","bite"
"html-keyboard-response","34","149256","0.0-34.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","35","149457","0.0-35.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_pot.wav","null","","",""
"survey-text","36","153643","0.0-36.0","bzb5hmc2ggk","4182.600000000093","","","{""Q0"":""cut""}","pot","cut"
"html-keyboard-response","37","156166","0.0-37.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","38","156417","0.0-38.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_cup.wav","null","","",""
"survey-text","39","160322","0.0-39.0","bzb5hmc2ggk","3902.1999999999534","","","{""Q0"":""cup""}","cup","cup"
"html-keyboard-response","40","162846","0.0-40.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","41","163308","0.0-41.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_speed.wav","null","","",""
"survey-text","42","169234","0.0-42.0","bzb5hmc2ggk","5923.800000000047","","","{""Q0"":""squid""}","speed","squid"
"html-keyboard-response","43","171739","0.0-43.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","44","172048","0.0-44.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_bat.wav","null","","",""
"survey-text","45","176067","0.0-45.0","bzb5hmc2ggk","4015.600000000093","","","{""Q0"":""but""}","bat","but"
"html-keyboard-response","46","178607","0.0-46.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","47","178998","0.0-47.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_dump.wav","null","","",""
"survey-text","48","190570","0.0-48.0","bzb5hmc2ggk","11569","","","{""Q0"":""bike""}","dump","bike"
"html-keyboard-response","49","193079","0.0-49.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","50","193339","0.0-50.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_tuck.wav","null","","",""
"survey-text","51","197434","0.0-51.0","bzb5hmc2ggk","4092.2999999998137","","","{""Q0"":""touch""}","tuck","touch"
"html-keyboard-response","52","199958","0.0-52.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","53","200399","0.0-53.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_stock.wav","null","","",""
"survey-text","54","207778","0.0-54.0","bzb5hmc2ggk","7377","","","{""Q0"":""stat""}","stock","stat"
"html-keyboard-response","55","210299","0.0-55.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","56","210580","0.0-56.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_peek.wav","null","","",""
"survey-text","57","215330","0.0-57.0","bzb5hmc2ggk","4747.5","","","{""Q0"":""keep""}","peek","keep"
"html-keyboard-response","58","217859","0.0-58.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","59","218280","0.0-59.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_sift.wav","null","","",""
"survey-text","60","225955","0.0-60.0","bzb5hmc2ggk","7670.899999999907","","","{""Q0"":""sit""}","sift","sit"
"html-keyboard-response","61","228470","0.0-61.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","62","228871","0.0-62.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_bleat.wav","null","","",""
"survey-text","63","248227","0.0-63.0","bzb5hmc2ggk","19352.399999999907","","","{""Q0"":""get""}","bleat","get"
"html-keyboard-response","64","250751","0.0-64.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","65","251042","0.0-65.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_neck.wav","null","","",""
"survey-text","66","255827","0.0-66.0","bzb5hmc2ggk","4781.800000000047","","","{""Q0"":""night""}","neck","night"
"html-keyboard-response","67","258341","0.0-67.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","68","258622","0.0-68.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_nook.wav","null","","",""
"survey-text","69","266019","0.0-69.0","bzb5hmc2ggk","7392.899999999907","","","{""Q0"":""night""}","nook","night"
"html-keyboard-response","70","268552","0.0-70.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","71","268903","0.0-71.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_gap.wav","null","","",""
"survey-text","72","275555","0.0-72.0","bzb5hmc2ggk","6648.59999999986","","","{""Q0"":""got""}","gap","got"
"html-keyboard-response","73","278082","0.0-73.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","74","278423","0.0-74.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_good.wav","null","","",""
"survey-text","75","281755","0.0-75.0","bzb5hmc2ggk","3328","","","{""Q0"":""did""}","good","did"
"html-keyboard-response","76","284283","0.0-76.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","77","284583","0.0-77.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_noon.wav","null","","",""
"survey-text","78","288619","0.0-78.0","bzb5hmc2ggk","4032","","","{""Q0"":""no""}","noon","no"
"html-keyboard-response","79","291153","0.0-79.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","80","291484","0.0-80.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_nine.wav","null","","",""
"survey-text","81","296323","0.0-81.0","bzb5hmc2ggk","4835.5","","","{""Q0"":""night""}","nine","night"
"html-keyboard-response","82","298854","0.0-82.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","83","299194","0.0-83.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_chant.wav","null","","",""
"survey-text","84","302675","0.0-84.0","bzb5hmc2ggk","3477","","","{""Q0"":""tight""}","chant","tight"
"html-keyboard-response","85","305204","0.0-85.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","86","305694","0.0-86.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_frock.wav","null","","",""
"survey-text","87","310971","0.0-87.0","bzb5hmc2ggk","5272.5","","","{""Q0"":""fought""}","frock","fought"
"html-keyboard-response","88","313493","0.0-88.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","89","313945","0.0-89.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_greet.wav","null","","",""
"survey-text","90","317482","0.0-90.0","bzb5hmc2ggk","3534.5","","","{""Q0"":""joint""}","greet","joint"
"html-keyboard-response","91","320014","0.0-91.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","92","320305","0.0-92.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_web.wav","null","","",""
"survey-text","93","323523","0.0-93.0","bzb5hmc2ggk","3214.5","","","{""Q0"":""rub""}","web","rub"
"html-keyboard-response","94","326053","0.0-94.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","95","326375","0.0-95.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_rock.wav","null","","",""
"survey-text","96","329314","0.0-96.0","bzb5hmc2ggk","2935.8000000000466","","","{""Q0"":""rot""}","rock","rot"
"html-keyboard-response","97","331845","0.0-97.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","98","332196","0.0-98.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_dude.wav","null","","",""
"survey-text","99","334835","0.0-99.0","bzb5hmc2ggk","2636","","","{""Q0"":""dude""}","dude","dude"
"html-keyboard-response","100","337365","0.0-100.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","101","337654","0.0-101.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_wish.wav","null","","",""
"survey-text","102","341208","0.0-102.0","bzb5hmc2ggk","3551.5","","","{""Q0"":""wish""}","wish","wish"
"html-keyboard-response","103","343723","0.0-103.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","104","344074","0.0-104.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_treat.wav","null","","",""
"survey-text","105","363225","0.0-105.0","bzb5hmc2ggk","19147.199999999953","","","{""Q0"":""story""}","treat","story"
"html-keyboard-response","106","365754","0.0-106.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","107","366165","0.0-107.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_fume.wav","null","","",""
"survey-text","108","370665","0.0-108.0","bzb5hmc2ggk","4496.299999999814","","","{""Q0"":""flew""}","fume","flew"
"html-keyboard-response","109","373195","0.0-109.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","110","373506","0.0-110.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_dash.wav","null","","",""
"survey-text","111","377113","0.0-111.0","bzb5hmc2ggk","3603.7999999998137","","","{""Q0"":""dash""}","dash","dash"
"html-keyboard-response","112","379645","0.0-112.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","113","379916","0.0-113.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_teach.wav","null","","",""
"survey-text","114","383736","0.0-114.0","bzb5hmc2ggk","3817.5","","","{""Q0"":""teach""}","teach","teach"
"html-keyboard-response","115","386275","0.0-115.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","116","386656","0.0-116.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_list.wav","null","","",""
"survey-text","117","392016","0.0-117.0","bzb5hmc2ggk","5356.90000000014","","","{""Q0"":""list""}","list","list"
"html-keyboard-response","118","394546","0.0-118.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","119","394867","0.0-119.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_feet.wav","null","","",""
"survey-text","120","398027","0.0-120.0","bzb5hmc2ggk","3154.4000000001397","","","{""Q0"":""feet""}","feet","feet"
"html-keyboard-response","121","400568","0.0-121.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","122","401019","0.0-122.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_spook.wav","null","","",""
"survey-text","123","408434","0.0-123.0","bzb5hmc2ggk","7412.399999999907","","","{""Q0"":""squint""}","spook","squint"
"html-keyboard-response","124","410958","0.0-124.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","125","411339","0.0-125.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_seek.wav","null","","",""
"survey-text","126","414290","0.0-126.0","bzb5hmc2ggk","2947.9000000001397","","","{""Q0"":""feet""}","seek","feet"
"html-keyboard-response","127","416809","0.0-127.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","128","417150","0.0-128.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_bud.wav","null","","",""
"survey-text","129","420906","0.0-129.0","bzb5hmc2ggk","3753.5999999998603","","","{""Q0"":""bud""}","bud","bud"
"html-keyboard-response","130","423429","0.0-130.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","131","423760","0.0-131.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_mooch.wav","null","","",""
"survey-text","132","427067","0.0-132.0","bzb5hmc2ggk","3303.2999999998137","","","{""Q0"":""huge""}","mooch","huge"
"html-keyboard-response","133","429589","0.0-133.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","134","429960","0.0-134.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_prune.wav","null","","",""
"survey-text","135","436923","0.0-135.0","bzb5hmc2ggk","6958.800000000047","","","{""Q0"":""turbulent""}","prune","turbulent"
"html-keyboard-response","136","439442","0.0-136.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","137","439911","0.0-137.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_thread.wav","null","","",""
"survey-text","138","445019","0.0-138.0","bzb5hmc2ggk","5104.5","","","{""Q0"":""slide""}","thread","slide"
"html-keyboard-response","139","447540","0.0-139.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","140","447871","0.0-140.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_rack.wav","null","","",""
"survey-text","141","451187","0.0-141.0","bzb5hmc2ggk","3312.1999999999534","","","{""Q0"":""rock""}","rack","rock"
"html-keyboard-response","142","453698","0.0-142.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","143","454021","0.0-143.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_ship.wav","null","","",""
"survey-text","144","457315","0.0-144.0","bzb5hmc2ggk","3289.9000000001397","","","{""Q0"":""ship""}","ship","ship"
"html-keyboard-response","145","459830","0.0-145.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","146","460272","0.0-146.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_rasp.wav","null","","",""
"survey-text","147","467579","0.0-147.0","bzb5hmc2ggk","7303.40000000014","","","{""Q0"":""rest""}","rasp","rest"
"html-keyboard-response","148","470101","0.0-148.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","149","470412","0.0-149.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_lawn.wav","null","","",""
"survey-text","150","486058","0.0-150.0","bzb5hmc2ggk","15642.800000000047","","","{""Q0"":""lay""}","lawn","lay"
"html-keyboard-response","151","488592","0.0-151.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","152","488913","0.0-152.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_moose.wav","null","","",""
"survey-text","153","497746","0.0-153.0","bzb5hmc2ggk","8829.90000000014","","","{""Q0"":""choose ""}","moose","choose "
"html-keyboard-response","154","500273","0.0-154.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","155","500654","0.0-155.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_last.wav","null","","",""
"survey-text","156","506858","0.0-156.0","bzb5hmc2ggk","6201.399999999907","","","{""Q0"":""lest""}","last","lest"
"html-keyboard-response","157","509363","0.0-157.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","158","509684","0.0-158.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_heap.wav","null","","",""
"survey-text","159","514346","0.0-159.0","bzb5hmc2ggk","4658.800000000279","","","{""Q0"":""peep""}","heap","peep"
"html-keyboard-response","160","516883","0.0-160.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","161","517154","0.0-161.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_lean.wav","null","","",""
"survey-text","162","535737","0.0-162.0","bzb5hmc2ggk","18580.5","","","{""Q0"":""lead""}","lean","lead"
"html-keyboard-response","163","538264","0.0-163.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","164","538675","0.0-164.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_sped.wav","null","","",""
"survey-text","165","547666","0.0-165.0","bzb5hmc2ggk","8987.600000000093","","","{""Q0"":""stand""}","sped","stand"
"html-keyboard-response","166","550205","0.0-166.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","167","550645","0.0-167.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_feast.wav","null","","",""
"survey-text","168","553922","0.0-168.0","bzb5hmc2ggk","3273.5","","","{""Q0"":""feast""}","feast","feast"
"html-keyboard-response","169","556445","0.0-169.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","170","556856","0.0-170.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_dodge.wav","null","","",""
"survey-text","171","561554","0.0-171.0","bzb5hmc2ggk","4695.0999999996275","","","{""Q0"":""dubbed""}","dodge","dubbed"
"html-keyboard-response","172","564085","0.0-172.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","173","564536","0.0-173.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_brook.wav","null","","",""
"survey-text","174","568914","0.0-174.0","bzb5hmc2ggk","4374.299999999814","","","{""Q0"":""broke""}","brook","broke"
"html-keyboard-response","175","571423","0.0-175.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","176","571696","0.0-176.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_nap.wav","null","","",""
"survey-text","177","581954","0.0-177.0","bzb5hmc2ggk","10254","","","{""Q0"":""yank""}","nap","yank"
"html-keyboard-response","178","584476","0.0-178.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","179","584737","0.0-179.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_peace.wav","null","","",""
"survey-text","180","588410","0.0-180.0","bzb5hmc2ggk","3669.600000000093","","","{""Q0"":""please""}","peace","please"
"html-keyboard-response","181","590936","0.0-181.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","182","591417","0.0-182.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_fraud.wav","null","","",""
"survey-text","183","600810","0.0-183.0","bzb5hmc2ggk","9389","","","{""Q0"":""frog""}","fraud","frog"
"html-keyboard-response","184","603327","0.0-184.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","185","603608","0.0-185.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_hill.wav","null","","",""
"survey-text","186","607234","0.0-186.0","bzb5hmc2ggk","3622.600000000093","","","{""Q0"":""help""}","hill","help"
"html-keyboard-response","187","609757","0.0-187.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","188","610278","0.0-188.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_blotch.wav","null","","",""
"survey-text","189","620234","0.0-189.0","bzb5hmc2ggk","9951.899999999907","","","{""Q0"":""clutch""}","blotch","clutch"
"html-keyboard-response","190","622766","0.0-190.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","191","623309","0.0-191.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_bluff.wav","null","","",""
"survey-text","192","627458","0.0-192.0","bzb5hmc2ggk","4145.5","","","{""Q0"":""glass""}","bluff","glass"
"html-keyboard-response","193","629978","0.0-193.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","194","630349","0.0-194.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_fame.wav","null","","",""
"survey-text","195","634290","0.0-195.0","bzb5hmc2ggk","3937.100000000093","","","{""Q0"":""hey""}","fame","hey"
"html-keyboard-response","196","636819","0.0-196.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","197","637199","0.0-197.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_crop.wav","null","","",""
"survey-text","198","640450","0.0-198.0","bzb5hmc2ggk","3247","","","{""Q0"":""drop""}","crop","drop"
"html-keyboard-response","199","642988","0.0-199.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","200","643420","0.0-200.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_waft.wav","null","","",""
"survey-text","201","647049","0.0-201.0","bzb5hmc2ggk","3626.5999999996275","","","{""Q0"":""list""}","waft","list"
"html-keyboard-response","202","649579","0.0-202.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","203","649900","0.0-203.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_give.wav","null","","",""
"survey-text","204","653986","0.0-204.0","bzb5hmc2ggk","4082.2999999998137","","","{""Q0"":""glue""}","give","glue"
"html-keyboard-response","205","656499","0.0-205.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","206","656990","0.0-206.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_grab.wav","null","","",""
"survey-text","207","660906","0.0-207.0","bzb5hmc2ggk","3912.100000000093","","","{""Q0"":""drug""}","grab","drug"
"html-keyboard-response","208","663419","0.0-208.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","209","663851","0.0-209.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_jaunt.wav","null","","",""
"survey-text","210","667130","0.0-210.0","bzb5hmc2ggk","3275.899999999907","","","{""Q0"":""joint""}","jaunt","joint"
"html-keyboard-response","211","669650","0.0-211.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","212","670061","0.0-212.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_creek.wav","null","","",""
"survey-text","213","707209","0.0-213.0","bzb5hmc2ggk","37145.39999999991","","","{""Q0"":""party""}","creek","party"
"html-keyboard-response","214","709713","0.0-214.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","215","710209","0.0-215.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_lost.wav","null","","",""
"survey-text","216","713346","0.0-216.0","bzb5hmc2ggk","3133.5","","","{""Q0"":""list""}","lost","list"
"html-keyboard-response","217","715850","0.0-217.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","218","716189","0.0-218.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_plume.wav","null","","",""
"survey-text","219","719474","0.0-219.0","bzb5hmc2ggk","3281.2999999998137","","","{""Q0"":""quilt""}","plume","quilt"
"html-keyboard-response","220","721989","0.0-220.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
